"class","Aspect_30m.tif","Curvature_30m.tif","Dis2Roads_30m.tif","Dis2stream_30m.tif","Elevation_30m.tif","Geomorphology_30m.tif","Lithology_30m.tif","LULC_30m.tif","Rainfall_30m.tif","Slope_30m.tif","Soil_30m.tif","SPI_30m.tif","Stream_Density_30m.tif","TWI_30m.tif"
0,59.0362434387207,-0.111111111938953,247.386337280273,510.881591796875,43,1,2,5,1180.45935058594,7.30756950378418,3808,-11.1129665374756,961.453125,7.30756950378418
0,315,0,1290,918.313659667969,45,2,1,5,1236.33020019531,5.58701133728027,3695,-10.6119546890259,209.411712646484,5.58701133728027
1,116.565048217773,-0.222222223877907,7122.83642578125,2002.59826660156,37,3,4,5,1192.51623535156,11.1898536682129,3743,-11.3580436706543,0,11.1898536682129
1,45,0.444444447755814,1018.67559814453,210,39,2,4,5,1243.79663085938,13.2235794067383,3682,-10.7592153549194,899.256469726562,13.2235794067383
1,123.690071105957,-0.555555582046509,2621.01123046875,954.829833984375,38,1,1,5,1287.60095214844,15.306957244873,3682,-1.92621445655823,343.425384521484,15.306957244873
0,11.3099317550659,-0.444444447755814,1065.31689453125,635.688598632812,39,1,1,5,1230.00329589844,9.24064636230469,3808,-10.5834665298462,1162.12841796875,9.24064636230469
1,354.093872070312,-0.222222223877907,276.586334228516,210,43,1,3,8,1199.35375976562,5.4161548614502,3695,-2.65451765060425,1461.09008789062,5.4161548614502
1,177.709396362305,0,1295.5693359375,67.0820388793945,41,6,4,8,1187.02380371094,6.13368797302246,3808,-9.71260547637939,691.631652832031,6.13368797302246
0,347.00537109375,-0.333333343267441,647.611022949219,1272.79223632812,40,1,1,5,1281.88781738281,10.3858118057251,3682,-2.7231273651123,477.798095703125,10.3858118057251
1,116.565048217773,-0.666666686534882,1866.03857421875,67.0820388793945,34,3,4,5,1195.68151855469,9.64836120605469,3743,-3.06374382972717,1067.65734863281,9.64836120605469
0,11.3099317550659,-0.111111111938953,547.448608398438,1230,37,2,1,7,1241.62097167969,9.14037990570068,3682,-11.2374792098999,442.445281982422,9.14037990570068
1,288.434936523438,1.11111116409302,1231.46252441406,1925.85046386719,37,2,1,5,1246.04943847656,7.46543169021606,3682,-1.08465981483459,0,7.46543169021606
