Dis2Roads_30m.tif,LULC_30m.tif_7,Rainfall_30m.tif,Geomorphology_30m.tif_2,Elevation_30m.tif,Soil_30m.tif_3695.0,Soil_30m.tif_3808.0,Soil_30m.tif_3743.0
-0.8569329388740223,False,-1.5498978791175173,False,1.5075078907857595,False,True,False
-0.1629166316150987,False,0.4515051952464425,True,2.251187542173735,True,False,False
3.719713859247976,False,-1.1179966926154787,False,-0.723531063378168,False,False,True
-0.3435238557270168,False,0.7189673403556325,True,0.0201485880098078,False,False,False
0.7230716611916843,False,2.288123777233019,False,-0.35169123768418,False,False,False
-0.3124770534055878,False,0.2248631126667904,False,0.0201485880098078,False,True,False
-0.8374959462672612,False,-0.873063199049215,False,1.5075078907857595,True,False,False
-0.1592094003563547,False,-1.3147463330474225,False,0.7638282393977837,False,True,False
-0.5905231762230482,False,2.083468119333915,False,0.3919884137037958,False,False,False
0.2205237340857872,False,-1.004610059366312,False,-1.839050540460132,False,False,True
-0.657196337680896,True,0.6410309745862909,True,-0.723531063378168,False,False,False
-0.2018821315841265,False,0.7996673140001792,True,-0.723531063378168,False,False,False
-0.8093269122752146,False,-0.7319530310989846,False,1.5075078907857595,False,True,False
-0.6965256214993303,False,-0.1143784996531655,False,0.7638282393977837,False,True,False
1.9779457154764395,True,-0.7929273162522389,False,1.5075078907857595,True,False,False
-0.9217582031050896,False,0.3800799246145753,True,0.3919884137037958,False,False,False
1.0813651940626767,False,-1.3097613441579568,False,-0.723531063378168,False,False,True
-0.3996587832993343,False,-1.4794827246554472,False,0.0201485880098078,False,False,True
-0.9392693585875812,True,-1.574254359919735,False,0.7638282393977837,False,False,True
-0.2356588566432418,False,0.155886608506583,False,0.7638282393977837,True,False,False
0.639589077568293,False,-1.681059933275084,False,-0.35169123768418,False,False,True
-0.6621545075953559,False,-1.8392589929618264,False,1.1356680650917717,False,True,False
-0.2611892998267312,True,0.1142706968741769,False,0.7638282393977837,False,True,False
-0.6202234826390612,False,-0.0203371215333012,False,-0.723531063378168,False,True,False
-0.8160070425181739,False,2.445911793976423,False,0.0201485880098078,False,False,False
-0.9816667482227204,True,0.9228971139071362,False,0.3919884137037958,True,False,False
0.943642007834862,True,1.212529341182455,True,-1.095370889072156,False,False,False
-0.8618496579874587,True,-0.5878955977879685,False,1.1356680650917717,False,True,False
0.334264000787019,False,-1.8258826061086957,False,0.0201485880098078,False,False,True
-0.2166089176200566,False,-1.5958078776706774,False,-1.095370889072156,False,True,False
-0.9933646193058928,False,-1.6057078906932654,False,0.3919884137037958,False,True,False
-0.8618496579874587,False,0.2045164869627712,False,-1.839050540460132,False,True,False
-0.7499909996643381,False,0.2051505425670435,False,-0.35169123768418,False,True,False
-0.369607978416843,False,0.192486921668892,False,-0.723531063378168,False,True,False
