Model,Accuracy,Precision,Recall,F1_Score,Time
Baseline,0.8486269256530475,0.8512820512820513,0.8356979405034325,0.8434180138568129,0.24140334129333496
Random Search,0.8678276400982362,0.8730679156908665,0.8530892448512586,0.8629629629629629,97.20506048202515
Grid Search (Fine-tuned),0.8709533377986157,0.8784738577484692,0.8535469107551488,0.8658310120705663,42.52986717224121
